affiliate,local,aff_state,aff_council,aff_local,aff_chapter,aff_name,Industry,Jurisdiction,Employer,Function,single_ocptn,Org_type
C8,3707,OH,8,3707,,Akron Metropolitan Housing Authority,Human Services,Regional,Housing Authority,Housing,Multiple,Public
L4,146,OH,,4,146,Akron Summit Community Action Inc.,Human Services,Single Entity,Non-Profit,Social Services,Multiple,Private Or Indp Entity
L206,18 & 24,CA,,206,18 & 24,Alameda County And Union Of American Physicians And Dentists Units 18 And 24,Health Care,County,Non-Profit,Health,Professional,Public
L206,,CA,,206,,Alameda County Medical Center,Health Care,Regional,Medical Center,Health,Professional,Public
C57,3916,CA,57,3916,,Alameda-Contra Costa Transit District,Transportation,District,Transit Authority,Transport,Multiple,Public
C18,3818,NM,18,3818,,Alamogordo City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L1199,J,NJ,,1199,J,Alaris Health At The Fountains,Health Care,Single Entity,Retirement Home,Nursing Home,Multiple,Private Or Indp Entity
L52,,AK,,52,,Alaska State,Public Administration,State,State Government,Daily Operations,Multiple,Public
L803,,AK,,803,,Alaska State Public Safety Officers Unit,Law Enforcement,State,State Government,Security & Public Safety,Multiple,Public
C75,2909,OR,75,2909,,Albany City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C82,2841,NY,82,2841,,Albany City Patrol Unit,Law Enforcement,Regional,Police Department,Security & Public Safety,Police Officers,Public
C82,2841,NY,82,2841,,Albany City Police Civilian Unit,Law Enforcement,Regional,City Government,Security & Public Safety,Multiple,Public
C82,2841,NY,82,2841,,Albany City Police Communications Unit,Emergency Services,Regional,City Government,Security & Public Safety,Multiple,Public
L1000,801,NY,,1000,801,Albany County Department Of General Services Unit,Public Administration,County,Department,Clerical/Admin,Multiple,Public
L1000,801,NY,,1000,801,Albany County Department Of Mental Health,Public Administration,County,Department,Mental Health,Multiple,Public
L1000,801,NY,,1000,801,Albany County Department Of Public Works,Public Administration,County,Department,Public Works,Multiple,Public
L1000,801,NY,,1000,801,Albany County Department Of Social Services/Children Youth And Families Unit,Human Services,County,Department,Youth Services,Multiple,Public
L1000,801,NY,,1000,801,Albany County Health,Public Administration,County,County Government,Health,Multiple,Public
L1000,801,NY,,1000,801,Albany County Non-Security,Public Administration,County,County Government,Daily Operations,Non-Security Employees,Public
C82,775,NY,82,775,,Albany County Sheriff Security And Law Enforcement,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
L1000,801,NY,,1000,801,Albany Housing Authority,Human Services,Regional,Housing Authority,Housing,Multiple,Public
C75,2909,OR,75,2909,1,Albany Municipal Transit Employees,Transportation,Municipality,Transit Authority,Transport,Multiple,Public
L1000,801,NY,,1000,801,Albany Public Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C66,3933,NY,66,3933,,Albany Public Library/Young Mens Assoc For Mutual Improvement,Public Administration,Single Entity,Association,Knowledge Enrichment,Multiple,Public
C65,1018,MN,65,1018,,Albert Lea City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C65,1018,MN,65,1018,,Albert Lea School District #241 Custodial Unit,K-12 Schools,City,School District,Buildings And Grounds,Custodians,Public
C85,,PA,85,,,Albion Borough,Utilities & Infrastructure,Borough,Borough,Public Works,Blue Collar,Public
L1000,837,NY,,1000,837,Albion Central School District Custodians,K-12 Schools,City,School District,Buildings And Grounds,Custodians,Public
C25,1248,MI,25,1248,,Albion City Department Of Public Works,Utilities & Infrastructure,City,Department,Public Works,Multiple,Public
L1000,837,NY,,1000,837,Albion Town Motor Equipment Operator,Public Administration,Town,Town,Public Works,Drivers,Public
L1000,837,NY,,1000,837,Albion Village Police,Law Enforcement,Village,Village,Security & Public Safety,Multiple,Public
C18,3022,NM,18,3022,,Albuquerque Bernalillo County Water Utility Authority,Utilities & Infrastructure,County,Water Authority,Water Treatment,Water And Sewer Workers,Public
C18,624,NM,18,624,,Albuquerque City Blue Collar,Utilities & Infrastructure,Regional,City Government,Public Works,Multiple,Public
C18,2962,NM,18,2962,,Albuquerque City Clerical And Technical Employees,Public Administration,Regional,City Government,Clerical/Admin,Multiple,Public
C18,1888,NM,18,1888,,Albuquerque City Officers Association,Law Enforcement,Regional,City Government,Security & Public Safety,Multiple,Public
C18,3022,NM,18,3022,,Albuquerque M-Series Employees,Public Administration,Regional,City Government,Professional,Supervisors,Public
C18,624,NM,18,624,,Albuquerque Transit Union,Transportation,Regional,Transit Authority,Transport,Blue Collar,Public
L4,328,OH,,4,328,"Alcohol, Drug Addiction And Mental Health Services Board Of Cuyahoga County",Health Care,County,County Government,Rehabilitation,Multiple,Public
L1000,868,NY,,1000,868,Alden Central School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C2,1811,WA,2,1811,A,Alderwood Water And Wastewater District Maintenance And Operations,Utilities & Infrastructure,Regional,Water District,Water Treatment,Maintenance,Public
L4,525,OH,,4,525,Alexander Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,823,NY,,1000,823,Alexandria Bay Village,Public Administration,City,City Government,Daily Operations,Blue Collar,Public
C17,1848,LA,17,1848,,Alexandria City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C65,487,MN,65,487,,Alexandria Lake Area Sanitary District,Utilities & Infrastructure,District,Sanitation Authority,Sanitation,Multiple,Public
L1000,749,NY,,1000,749,Alfred University,Higher Education,Single Entity,University,Daily Operations,Multiple,Private Or Indp Entity
C82,2841,NY,82,2841,AL,Alfred Village Police Department,Law Enforcement,Village,Department,Security & Public Safety,Multiple,Public
C25,625,MI,25,625,4,Alger County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C25,1446,MI,25,1446,1,Alger County Road Commission,Utilities & Infrastructure,County,Road Commission,Public Works,Highway Employees,Public
C40,1470,WI,40,1470,A,Algoma City,Public Administration,City,City Government,Daily Operations,Blue Collar,Public
C61,35,IA,61,35,,Iowa State Master Contract,Public Administration,Recreation Facility,Convention Center,Buildings And Grounds,Maintenance,Public
C61,90,IA,61,90,,Boone County Secondary Road And Landfill,Utilities & Infrastructure,County,County Government,Sanitation,Highway Employees,Public
C25,1518,MI,25,1518,26,Algonac City Non-Supervisory Unit,Public Administration,City,City Government,Daily Operations,Multiple,Public
C25,1518,MI,25,1518,27,Algonac City Supervisory Unit,Public Administration,City,City Government,Professional,Supervisors,Public
C25,1518,MI,25,1518,17,Algonac Community School District Bus Drivers,K-12 Schools,City,School District,Transport,Bus Drivers,Public
C66,1304,NY,66,1304,,Allegany City Highway Department,Utilities & Infrastructure,City,Department,Public Works,Highway Employees,Public
C66,2574,NY,66,2574,,Allegany County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C67,1521,MD,67,1521,,Allegany County Commissioners Animal Control,Utilities & Infrastructure,County,Commission,Sanitation,Animal Control,Public
C67,1521,MD,67,1521,,Allegany County Commissioners Emergency Services And Communications,Emergency Services,County,County Government,Security & Public Safety,Dispatchers,Public
C82,3989,NY,82,3989,,Allegany County Deputy Sheriffs,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
C67,1633,MD,67,1633,,Allegany County Nursing And Rehabilitation Center,Home Care,County,Retirement Home,Convalescence/Old Aged Care,Multiple,Public
C67,1521,MD,67,1521,,Allegany County Sheriffs Deputy Patrol Division,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
C67,1633,MD,67,1633,,Allegany County Transit Non Supervisory Employees,Transportation,County,Transit Authority,Transport,Drivers,Public
L1199,C,PA,,1199,C,Alleghany Child Care Academy,Human Services,Single Entity,Daycare Facility,Youth Services,Multiple,Private Or Indp Entity
C84,2622,PA,84,2622,,Allegheny County Professional,Public Administration,County,County Government,Professional,Professional,Public
L1199,C,PA,,1199,C,Allegheny Valley School Clp/Waiver Homes,Health Care,Single Entity,Intellectual Disability Caretaker,Mental Health,Multiple,Private Or Indp Entity
L1199,C,PA,,1199,C,Allegheny Valley School Single Family Residences,Health Care,Single Entity,Intellectual Disability Caretaker,Buildings And Grounds,Maintenance,Private Or Indp Entity
C8,1770,OH,8,1770,B,Allen County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C8,1770,OH,8,1770,C,Allen County Board Of Mental Retardation And Developmental Disabilities,Health Care,County,County Government,Mental Health,Multiple,Public
L4,558,OH,,4,558,Allen East Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C25,142,MI,25,142,,Allen Park Board Of Education Food Service/Maintenance/Transportation,K-12 Schools,City,Board Of Education,Daily Operations,Blue Collar,Public
C25,3138,MI,25,3138,,Allen Park Board Of Education Paraprofessional Personnel,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Paraprofessionals,Public
L11,230,OH,,11,230,Allen/Oakwood Correctional,Corrections,Single Entity,Incarceration Facility,Adult Detention,Multiple,Public
L4,265,OH,,4,265,Alliance City Schools,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C8,2233,OH,8,2233,,Alliance City Streets Department,Utilities & Infrastructure,City,Department,Public Works,Highway Employees,Public
C8,2233,OH,8,2233,A,Alliance Water Treatment Plant,Utilities & Infrastructure,City,City Government,Water Treatment,Treatment Facility Employees,Public
C65,105,MN,65,105,,Allina Health Dba Regina Hospital Lpns,Health Care,Single Entity,Hospital,Health,Nurses,Private Or Indp Entity
C65,105,MN,65,105,,Allina Health System Allina Medical Clinic - Faribault,Health Care,Single Entity,Medical Center,Health,Multiple,Private Or Indp Entity
L646,,HI,,646,,Aloha United Way,Human Services,State,Non-Profit,Health,Clerical Employees,Private Or Indp Entity
C73,2928,NJ,73,2928,,Alpha Borough,Public Administration,Borough,Borough,Daily Operations,Blue Collar,Public
C31,3053,IL,31,3053,,Alsip Village,Public Administration,Village,Village,Daily Operations,Multiple,Public
L1199,NM,NM,,1199,NM,Alta Vista Regional Hospital,Health Care,Regional,Medical Center,Health,Multiple,Private Or Indp Entity
L1000,838,NY,,1000,838,Altmar-Parish-Williamstown Central School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C31,3388,IL,31,3388,,Alton City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C93,534,NH,93,534,,Alton Town Highway Department,Utilities & Infrastructure,Town,Department,Public Works,Highway Employees,Public
C83,2952,PA,83,2952,A,Altoona Area School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C83,2952,PA,83,2952,C,Altoona Area School District Special Education Aides,K-12 Schools,City,School District,Special Education/Needs,Educators,Public
C83,2188,PA,83,2188,A-1,Altoona City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C83,3155,PA,83,3155,,Altoona City Authority Water And Waste Water Divisions,Utilities & Infrastructure,Control Authority,Water And Sewer Authority,Water Treatment,Water And Sewer Workers,Public
C83,2188,PA,83,2188,A-2,Altoona City Meet And Discuss Unit,Public Administration,City,City Government,Daily Operations,Multiple,Public
C83,2188,PA,83,2188,A-3,Altoona City School Crossing Guards,K-12 Schools,City,School District,Security & Public Safety,Crossing Guards,Public
C83,691,PA,83,691,,Altoona Regional Health System,Health Care,Regional,Medical Center,Health,Multiple,Private Or Indp Entity
C83,2952,PA,83,2952,B,"Altoona Student Transportation, Inc.",K-12 Schools,Single Entity,Business,Transport,Bus Drivers,Private Or Indp Entity
C83,3156,PA,83,3156,A,Altoona-Logan Township Mobile Emergency Medical Authority,Emergency Services,Township,Health District,Health,Multiple,Public
C88,317,PA,88,317,L,Ambler Borough,Public Administration,Borough,Borough,Daily Operations,Multiple,Public
C84,248,PA,84,248,,Ambridge Area School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C84,248,PA,84,248,,Ambridge Borough,Public Administration,Borough,Borough,Daily Operations,Multiple,Public
C28,,WA,28,,,American Behavioral Health Systems,Health Care,Single Entity,Health Center,Rehabilitation,Multiple,Private Or Indp Entity
C61,96,IA,61,96,,Iowa State Master Contract,Higher Education,Single Entity,University,Clerical/Admin,Clerical Employees,Public
C1707,107,NY,1707,107,,American Friends Of Hebrew University,Higher Education,Single Entity,Religious Association,Social Services,Multiple,Private Or Indp Entity
C47,1739,PA,47,1739,,American Friends Service Committee,Human Services,Single Entity,Religious Association,Social Services,Multiple,Private Or Indp Entity
C75,88,OR,75,88,5,American Friends Service Committee Pacific Northwest Regional Office,Human Services,Regional,Religious Association,Social Services,Multiple,Private Or Indp Entity
C5,3558,MN,5,3558,,American Indian Community Housing Organization,Human Services,Single Entity,Religious Association,Support Housing And Assistance,Multiple,Private Or Indp Entity
C1707,107,NY,1707,107,,American Jewish Committee,Human Services,Single Entity,Religious Association,Social Services,Multiple,Private Or Indp Entity
C1707,107,NY,1707,107,,American Jewish Congress Clerical,Human Services,Single Entity,Religious Association,Clerical/Admin,Clerical Employees,Private Or Indp Entity
C1707,107,NY,1707,107,,American Jewish Congress Professional,Human Services,Single Entity,Religious Association,Social Services,Professional,Private Or Indp Entity
C40,727,WI,40,727,D,American Lutheran Home Inc.,Home Care,Single Entity,Retirement Home,Convalescence/Old Aged Care,Multiple,Private Or Indp Entity
L4911,,MA,,4911,,"American Medical Response (Amr) Of Massachusetts, Inc.",Emergency Services,Single Entity,Business,Security & Public Safety,Emts,Private Or Indp Entity
L4911,,CA,,4911,,American Medical Response West Riverside Division,Emergency Services,Single Entity,Non-Profit,Security & Public Safety,Emts,Private Or Indp Entity
L4911,,CA,,4911,,"American Medical Response, Inc. Northern California",Emergency Services,Single Entity,Business,Security & Public Safety,Emts,Private Or Indp Entity
C37,1559,NY,37,1559,,American Museum Of Natural History,Public Administration,City,Museum,Knowledge Enrichment,Multiple,Private Or Indp Entity
C37,1306,NY,37,1306,,American Museum Of Natural History - Attendants/Guards,Public Administration,City,Museum,Knowledge Enrichment,Security Guards,Private Or Indp Entity
C40,1205,WI,40,1205,,American National Red Cross Blood Services Badger-Hawkeye Region Dubuque,Health Care,Regional,Non-Profit,Health,Phlebotomists,Private Or Indp Entity
C40,1205,WI,40,1205,,American National Red Cross Blood Services Madison/Green Bay Rns And Lpns,Health Care,Regional,Non-Profit,Health,Nurses,Private Or Indp Entity
C1707,107,NY,1707,107,,American Ort And Women'S American Ort,Human Services,Regional,Non-Profit,Social Services,Multiple,Private Or Indp Entity
C4,3145,CT,4,3145,,American Red Cross Blood Services,Health Care,State,Non-Profit,Health,Phlebotomists,Private Or Indp Entity
C25,1918,MI,25,1918,27,American Red Cross Great Lakes Blood Services,Health Care,Regional,Non-Profit,Health,Phlebotomists,Private Or Indp Entity
L1199,,DC,,1199,,American Red Cross Greater Chesapeake And Potomac Blood Services Region,Health Care,Regional,Non-Profit,Health,Phlebotomists,Private Or Indp Entity
C31,2691,IL,31,2691,,American Red Cross Heart Of America Blood Services Region,Health Care,Regional,Non-Profit,Health,Phlebotomists,Private Or Indp Entity
C5,3931,MN,5,3931,,American Red Cross North Central Blood Services St. Paul,Health Care,Regional,Non-Profit,Health,Phlebotomists,Private Or Indp Entity
L1199,C,PA,,1199,C,Americhoice Of Pennsylvania,Human Services,State,Non-Profit,Health,Multiple,Private Or Indp Entity
C93,939,MA,93,939,,Amesbury Public Schools Cafeteria Workers,K-12 Schools,City,School District,Food Services,Cafeteria Workers,Public
C93,939,MA,93,939,,Amesbury Town Department Of Public Works,Utilities & Infrastructure,Town,Department,Public Works,Blue Collar,Public
C8,277,OH,8,277,,Amherst City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,208,OH,,4,208,Amherst Exempted Village Board Of Education,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
L1000,815,NY,,1000,815,Amherst Town,Public Administration,Town,Town,Daily Operations,Multiple,Public
C93,3657,NH,93,3657,1,Amherst Town Police Department,Law Enforcement,Town,Department,Security & Public Safety,Multiple,Public
C1707,107,NY,1707,107,,Amit Inc.,K-12 Schools,Single Entity,Religious Association,Knowledge Enrichment,Multiple,Private Or Indp Entity
C4,1303,CT,4,1303,383,Amity Regional Board Of Education Nurses Group,K-12 Schools,Regional,Board Of Education,Health,Nurses,Public
C4,1303,CT,4,1303,178,Amity Regional School District #5 Clerical,K-12 Schools,Regional,School District,Clerical/Admin,Clerical Employees,Public
C4,1303,CT,4,1303,64,Amity Regional School District #5 Custodians,K-12 Schools,Regional,School District,Buildings And Grounds,Custodians,Public
C4,1303,CT,4,1303,221,Amity Regional School District #5 Paraprofessionals,K-12 Schools,Regional,School District,Clerical/Admin,Paraprofessionals,Public
L1000,,NY,,1000,,Amityville Board Of Education Custodial And Cafeteria,K-12 Schools,City,Board Of Education,Daily Operations,Blue Collar,Public
L1000,870,NY,,1000,870,"Amityville Board Of Education Teaching Assistants, Aides And Monitors",K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
L1000,852,NY,,1000,852,Amityville Public Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
L1000,852,NY,,1000,852,Amityville Village Clerical,Public Administration,Village,Village,Clerical/Admin,Clerical Employees,Public
L1000,852,NY,,1000,852,Amityville Village Department Of Public Works,Public Administration,Village,Department,Public Works,Blue Collar,Public
C66,1614,NY,66,1614,,Amsterdam City,Utilities & Infrastructure,City,City Government,Public Works,Blue Collar,Public
L1000,829,NY,,1000,829,Amsterdam City Hall,Public Administration,City,City Government,Daily Operations,City Hall Employees,Public
L1000,829,NY,,1000,829,Amsterdam Wastewater Facility,Utilities & Infrastructure,City,City Government,Water Treatment,Water And Sewer Workers,Public
C9,2774,MT,9,2774,B,Anaconda-Deer Lodge County School District No. 10 Janitresses,K-12 Schools,City,School District,Buildings And Grounds,Custodians,Public
C36,3112,CA,36,3112,,Anaheim Union High School District,K-12 Schools,District,High School,Knowledge Enrichment,Multiple,Public
C25,1688,MI,25,1688,13,Anchor Bay Board Of Education,K-12 Schools,City,Board Of Education,Daily Operations,Blue Collar,Public
C25,1688,MI,25,1688,11,Anchor Bay Board Of Education School Aged Child Care,K-12 Schools,City,Daycare Facility,Youth Services,Multiple,Public
L16,,AK,,16,,Anchorage,Public Administration,Regional,City Government,Daily Operations,Multiple,Public
C962,1913,IN,962,1913,,Anderson City Streets Sewer Parks,Utilities & Infrastructure,City,City Government,Infrastructure,Multiple,Public
L1000,,NY,,1000,,Andes Town Highway Unit,Utilities & Infrastructure,Town,Town,Public Works,Highway Employees,Public
C4,1303,CT,4,1303,368,Andover Town,Public Administration,Town,Town,Daily Operations,Blue Collar,Public
C93,1704,MA,93,1704,,Andover Town Public Works And Plant And Facilities,Public Administration,Town,Town,Public Works,Blue Collar,Public
C93,1828,ME,93,1828,14,Androscoggin County Law Enforcement And Corrections Supervisory Command Unit,Law Enforcement,County,County Government,Security & Public Safety,Supervisors,Public
C93,1828,ME,93,1828,4,Androscoggin County Law Enforcement And Corrections Unit,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
C1707,215,NY,1707,215,,Angel Guardian Children And Family Services,Human Services,Single Entity,Non-Profit,Support Housing And Assistance,Multiple,Private Or Indp Entity
C66,1095,NY,66,1095,,Angola Village Department Of Public Works,Utilities & Infrastructure,Village,Department,Public Works,Blue Collar,Public
C61,165,IA,61,165,,Ida County Sheriff'S Office,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
C25,1182,MI,25,1182,11,Ann Arbor Board Of Education Maintenance,K-12 Schools,City,Board Of Education,Daily Operations,Maintenance,Public
C25,1182,MI,25,1182,,Ann Arbor Board Of Education Technical Support,K-12 Schools,City,Board Of Education,Technical/It,Technicians,Public
C25,369,MI,25,369,11,Ann Arbor City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C67,3162,MD,67,3162,,Annapolis City Clerical And Technical,Public Administration,City,City Government,Clerical/Admin,Multiple,Public
C67,3406,MD,67,3406,,Annapolis City Trades And Maintenance,Public Administration,City,City Government,Daily Operations,Skilled Tradesmen,Public
C67,2563,MD,67,2563,,Anne Arundel County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C67,1693,MD,67,1693,,Anne Arundel County Board Of Education,K-12 Schools,County,County School Board,Daily Operations,Blue Collar,Public
C67,582,MD,67,582,,Anne Arundel County Department Of Public Works,Public Administration,County,Department,Public Works,Multiple,Public
C5,2454,MN,5,2454,,Anoka-Hennepin School District #11,K-12 Schools,City,School District,Knowledge Enrichment,Professional,Public
C4,1303,CT,4,1303,237,Ansonia Housing Authority,Human Services,City,Housing Authority,Housing,Multiple,Public
